municipality_code,prefecture,municipality_name,reading_katakana
122254,千葉県,君津市,きみつし
122262,千葉県,富津市,ふっつし
122271,千葉県,浦安市,うらやすし
122289,千葉県,四街道市,よつかいどうし
122297,千葉県,袖ケ浦市,そでがうらし
122301,千葉県,八街市,やちまたし
122319,千葉県,印西市,いんざいし
122327,千葉県,白井市,しろいし
122335,千葉県,富里市,とみさとし
122343,千葉県,南房総市,みなみぼうそうし
122351,千葉県,匝瑳市,そうさし
122360,千葉県,香取市,かとりし
122378,千葉県,山武市,さんむし
122386,千葉県,いすみ市,いすみし
122394,千葉県,大網白里市,おおあみしらさとし
123226,千葉県,酒々井町,しすいまち
123293,千葉県,栄町,さかえまち
123421,千葉県,神崎町,こうざきまち
123471,千葉県,多古町,たこまち
123498,千葉県,東庄町,とうのしょうまち
124036,千葉県,九十九里町,くじゆうくりまち
124095,千葉県,芝山町,しばやままち
124109,千葉県,横芝光町,よこしばひかりまち
124214,千葉県,一宮町,いちのみやまち
124222,千葉県,睦沢町,むつざわまち
124231,千葉県,長生村,ちょうせいむら
124249,千葉県,白子町,しらこまち
124265,千葉県,長柄町,ながらまち
124273,千葉県,長南町,ちょうなんまち
124419,千葉県,大多喜町,おおたきまち
124435,千葉県,御宿町,おんじゆくまち
124630,千葉県,鋸南町,きよなんまち
131016,東京都,千代田区,ちよだく
131032,東京都,港区,みなとく
131041,東京都,新宿区,しんじゅくく
131059,東京都,文京区,ぶんきょうく
131067,東京都,台東区,たいとうく
131075,東京都,墨田区,すみだく
131083,東京都,江東区,こうとうく
131091,東京都,品川区,しながわく
131105,東京都,目黒区,めぐろく
131113,東京都,大田区,おおたく
131121,東京都,世田谷区,せたがやく
131130,東京都,渋谷区,しぶやく
131148,東京都,中野区,なかのく
131156,東京都,杉並区,すぎなみく
131164,東京都,豊島区,としまく
131172,東京都,北区,きたく
131181,東京都,荒川区,あらかわく
131199,東京都,板橋区,いたばしく
131202,東京都,練馬区,ねりまく
131211,東京都,足立区,あだちく
131229,東京都,葛飾区,かつしかく
131237,東京都,江戸川区,えどがわく
132012,東京都,八王子市,はちおうじし
132021,東京都,立川市,たちかわし
132039,東京都,武蔵野市,むさしのし
132047,東京都,三鷹市,みたかし
132055,東京都,青梅市,おうめし
132063,東京都,府中市,ふちゅうし
132071,東京都,昭島市,あきしまし
132080,東京都,調布市,ちょうふし
132098,東京都,町田市,まちだし
132101,東京都,小金井市,こがねいし
132110,東京都,小平市,こだいらし
132128,東京都,日野市,ひのし
132136,東京都,東村山市,ひがしむらやまし
132144,東京都,国分寺市,こくぶんじし
132152,東京都,国立市,くにたちし
