municipality_code,prefecture,municipality_name,reading_hiragana,municipality_category,name_short,reading_short
042081,宮城県,角田市,かくだし,市,角田,かくだ
042099,宮城県,多賀城市,たがじょうし,市,多賀城,たがじょう
042111,宮城県,岩沼市,いわぬまし,市,岩沼,いわぬま
042129,宮城県,登米市,とめし,市,登米,とめ
042137,宮城県,栗原市,くりはらし,市,栗原,くりはら
042145,宮城県,東松島市,ひがしまつしまし,市,東松島,ひがしまつしま
042153,宮城県,大崎市,おおさきし,市,大崎,おおさき
042161,宮城県,富谷市,とみやし,市,富谷,とみや
043010,宮城県,蔵王町,ざおうまち,町,蔵王,ざおう
043028,宮城県,七ヶ宿町,しちかしゅくまち,町,七ヶ宿,しちかしゅく
043214,宮城県,大河原町,おおがわらまち,町,大河原,おおがわら
043222,宮城県,村田町,むらたまち,町,村田,むらた
043231,宮城県,柴田町,しばたまち,町,柴田,しばた
043249,宮城県,川崎町,かわさきまち,町,川崎,かわさき
043419,宮城県,丸森町,まるもりまち,町,丸森,まるもり
043613,宮城県,亘理町,わたりちょう,町,亘理,わたり
043621,宮城県,山元町,やまもとちょう,町,山元,やまもと
044016,宮城県,松島町,まつしままち,町,松島,まつしま
044041,宮城県,七ヶ浜町,しちがはままち,町,七ヶ浜,しちがはま
044067,宮城県,利府町,りふちょう,町,利府,りふ
044211,宮城県,大和町,たいわちょう,町,大和,たいわ
044229,宮城県,大郷町,おおさとちょう,町,大郷,おおさと
044245,宮城県,大衡村,おおひらむら,村,大衡,おおひら
044440,宮城県,色麻町,しかまちょう,町,色麻,しかま
044458,宮城県,加美町,かみまち,町,加美,かみ
045012,宮城県,涌谷町,わくやちょう,町,涌谷,わくや
045055,宮城県,美里町,みさとまち,町,美里,みさと
045811,宮城県,女川町,おながわちょう,町,女川,おながわ
046060,宮城県,南三陸町,みなみさんりくちょう,町,南三陸,みなみさんりく
052019,秋田県,秋田市,あきたし,市,秋田,あきた
052027,秋田県,能代市,のしろし,市,能代,のしろ
052035,秋田県,横手市,よこてし,市,横手,よこて
052043,秋田県,大館市,おおだてし,市,大館,おおだて
052060,秋田県,男鹿市,おがし,市,男鹿,おが
052078,秋田県,湯沢市,ゆざわし,市,湯沢,ゆざわ
052094,秋田県,鹿角市,かづのし,市,鹿角,かづの
